##4001269		
ABSTRACT	abstract	jj_nn1@_vv0@
.	.	y
The	the	at
authors	author	nn2
performed	perform	vvd_vvn
2	2	mc
experiments	experiment	nn2
investigating	investigate	vvg
the	the	at
influence	influence	nn1
of	of	io
the	the	at
belief	belief	nn1
that	that	cst
a	a	at1
vehicle	vehicle	nn1
crashed	crash	vvd_vvn@
on	on	ii_rp@
witnesses	witness	nn2
'	'	ge
estimates	estimate	nn2
of	of	io
the	the	at
vehicle	vehicle	nn1
's	's	ge
speed	speed	nn1
.	.	y
In	in	ii
Experiment	experiment	nn1
1	1	mc1
,	,	y
participants	participant	nn2
saw	see	vvd
a	a	at1
video	video	nn1
of	of	io
a	a	at1
civilian	civilian	jj_nn1
car	car	nn1
being	be	vbg
driven	drive	vvn
,	,	y
after	after	ii_cs
which	which	ddq
they	they	pphs2
were	be	vbdr
assigned	assign	vvn
to	to	ii
1	1	mc1
of	of	io
2	2	mc
conditions	condition	nn2
.	.	y
The	the	at
1st	1st	md
group	group	nn1
was	be	vbdz
told	tell	vvn
that	that	cst
the	the	at
vehicle	vehicle	nn1
subsequently	subsequently	rr
crashed	crash	vvd_vvn@
;	;	y
the	the	at
2nd	2nd	md
group	group	nn1
was	be	vbdz
not	not	xx
told	tell	vvn
that	that	cst
the	the	at
vehicle	vehicle	nn1
crashed	crash	vvd
.	.	y
The	the	at
results	result	nn2
indicted	indict	vvd_vvn
no	no	at
differences	difference	nn2
between	between	ii
the	the	at
2	2	mc
groups	group	nn2
on	on	ii
a	a	at1
number	number	nn1
of	of	io
factors	factor	nn2
,	,	y
including	including	ii_vvg@
estimates	estimate	nn2
of	of	io
the	the	at
vehicle	vehicle	nn1
's	's	ge
speed	speed	nn1
.	.	y
Experiment	experiment	nn1_vv0@
2	2	mc
was	be	vbdz
identical	identical	jj
except	except	cs21
that	that	cs22
the	the	at
video	video	nn1
showed	show	vvd
a	a	at1
police	police	nn2
car	car	nn1
using	use	vvg
flashing	flashing	jj@_vvg_nn1@
lights	light	nn2
and	and	cc
sirens	siren	nn2
.	.	y
Participants	participant	nn2
who	who	pnqs
had	have	vhd
been	be	vbn
told	tell	vvn
that	that	cst
the	the	at
car	car	nn1
had	have	vhd
crashed	crash	vvn
overestimated	overestimated	jj%_vvn_vvd
speed	speed	nn1
,	,	y
the	the	at
likelihood	likelihood	nn1
of	of	io
a	a	at1
crash	crash	nn1
,	,	y
and	and	cc
the	the	at
likelihood	likelihood	nn1
of	of	io
someone	someone	pn1
being	be	vbg
killed	kill	vvn
.	.	y
Participants	participant	nn2
who	who	pnqs
were	be	vbdr
not	not	xx
told	tell	vvn
that	that	cst
the	the	at
vehicle	vehicle	nn1
crashed	crash	vvd
estimated	estimate	vvd_vvn
the	the	at
speed	speed	nn1
of	of	io
the	the	at
vehicle	vehicle	nn1
accurately	accurately	rr
.	.	y
Confidence	confidence	nn1
in	in	ii
their	their	appge
estimates	estimate	nn2
of	of	io
speed	speed	nn1
was	be	vbdz
not	not	xx
significantly	significantly	rr
different	different	jj
between	between	ii
the	the	at
2	2	mc
groups	group	nn2
.	.	y
Results	result	nn2
are	be	vbr
discussed	discuss	vvn
with	with	ii31
regard	regard	ii32
to	to	ii33
police	police	nn2
investigations	investigation	nn2
of	of	io
road	road	nn1
accidents	accident	nn2
.	.	y
<p>	<p>	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
police	police	nn2
,	,	y
speed	speed	nn1_vv0@
,	,	y
witness	witness	vv0_nn1
<p>	<p>	y
THE	the	at
POLICE	police	nn2
MUST	must	vm
INVESTIGATE	investigate	vvi
vehicle	vehicle	nn1
accidents	accident	nn2
and	and	cc
,	,	y
if	if	cs
necessary	necessary	jj
,	,	y
initiate	initiate	vv0
prosecutions	prosecution	nn2
against	against	ii
drivers	driver	nn2
who	who	pnqs
have	have	vh0
caused	cause	vvn
crashes	crash	nn2
.	.	y
In	in	ii
such	such	da
investigations	investigation	nn2
the	the	at
police	police	nn2
are	be	vbr
typically	typically	rr
interested	interested	jj
in	in	ii
determining	determine	vvg
the	the	at
speed	speed	nn1
of	of	io
a	a	at1
vehicle	vehicle	nn1
.	.	y
The	the	at
reason	reason	nn1
for	for	if
this	this	dd1
is	be	vbz
that	that	dd1_cst
speed	speed	nn1
is	be	vbz
one	one	mc1
of	of	io
the	the	at
most	most	rgt
important	important	jj
causes	cause	nn2
of	of	io
car	car	nn1
crashes	crash	nn2_vvz
.	.	y
Shibata	shibata	nn1_np1@
and	and	cc
Fukuda	fukuda	np1
(	(	y
1994	1994	mc
)	)	y
analyzed	analyze	vvd
the	the	at
data	data	nn
from	from	ii
33,821	33,821	mc
traffic	traffic	nn1
accidents	accident	nn2
for	for	if
various	various	jj
risk	risk	nn1
factors	factor	nn2
,	,	y
including	including	ii
driving	drive	vvg_jj
without	without	iw
a	a	at1
license	license	nn1
,	,	y
consumption	consumption	nn1
of	of	io
alcohol	alcohol	nn1
,	,	y
speed	speed	nn1_vv0@
,	,	y
and	and	cc
the	the	at
use	use	nn1
of	of	io
a	a	at1
seat-belt	seatbelt	nn1_jj
.	.	y
Speed	speed	nn1
was	be	vbdz
the	the	at
most	most	rgt
important	important	jj
risk	risk	nn1
factor	factor	nn1
for	for	if
fatalities	fatality	nn2
.	.	y
<p>	<p>	y
The	the	at
police	police	nn2
rely	rely	vv0
on	on	ii_rp@
a	a	at1
number	number	nn1
of	of	io
sources	source	nn2
,	,	y
such	such	ii21
as	as	ii22
skid	skid	nn1
marks	mark	nn2
and	and	cc
the	the	at
location	location	nn1
and	and	cc
extent	extent	nn1
of	of	io
damage	damage	nn1
to	to	ii
a	a	at1
vehicle	vehicle	nn1
,	,	y
to	to	to
determine	determine	vvi
the	the	at
speed	speed	nn1
of	of	io
a	a	at1
vehicle	vehicle	nn1
that	that	cst_dd1
has	have	vhz
been	be	vbn
involved	involved	jj
in	in	ii
a	a	at1
collision	collision	nn1
.	.	y
However	however	rr
,	,	y
in	in	ii
the	the	at
majority	majority	nn1
of	of	io
cases	case	nn2
the	the	at
most	most	rgt
important	important	jj
source	source	nn1
of	of	io
evidence	evidence	nn1
is	be	vbz
an	a	at1
eyewitness	eyewitness	nn1
(	(	y
see	see	vv0
Kebbell	kebbell	np1
&;	&;	x
Milne	milne	np1
,	,	y
1998	1998	mc
)	)	y
.	.	y
Therefore	therefore	rr
,	,	y
it	it	pph1
is	be	vbz
important	important	jj
for	for	if
the	the	at
police	police	nn2
to	to	to
know	know	vvi
how	how	rgq@
much	much	da1
reliance	reliance	nn1
they	they	pphs2
can	can	vm
place	place	vvi
on	on	ii
eyewitness	eyewitness	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
found	find	vvn
that	that	cst
witnesses	witness	nn2
can	can	vm
be	be	vbi
reasonably	reasonably	rr
good	good	jj
.	.	y
For	for	rex21
example	example	rex22
,	,	y
a	a	at1
recent	recent	jj
study	study	nn1
involved	involve	vvd_vvn
mock-eyewitness	mock-eyewitness	jj_nn1
estimates	estimate	nn2
of	of	io
the	the	at
speed	speed	nn1
of	of	io
civilian	civilian	nn1_jj
and	and	cc
police	police	nn2_vv0%
cars	car	nn2
.	.	y
Witnesses	witness	nn2
were	be	vbdr
remarkably	remarkably	rr
accurate	accurate	jj
,	,	y
typically	typically	rr
estimating	estimate	vvg
less	less	dar
than	than	csn
3	3	mc
miles	mile	nnu2
per	per	ii
hour	hour	nnt1
(	(	y
5	5	mc
kmph	kmph	nnu
)	)	y
above	above	rl
or	or	cc
below	below	ii
the	the	at
actual	actual	jj
speed	speed	nn1
of	of	io
the	the	at
vehicle	vehicle	nn1
(	(	y
Barnecutt	barnecutt	np1
,	,	y
Pfeffer	pfeffer	np1_vv0_nn1
,	,	y
&;	&;	x
Creswell	creswell	np1
,	,	y
1999	1999	mc
;	;	y
Froyland	froyland	np1
,	,	y
Ainsworth	ainsworth	np1
,	,	y
&;	&;	x
Pfeifer	pfeifer	np1_vv0_nn1
,	,	y
1998	1998	mc
;	;	y
Marshall	marshall	np1
,	,	y
1966	1966	mc
;	;	y
Semb	semb	nn1
,	,	y
1969	1969	mc
)	)	y
.	.	y
<p>	<p>	y
Nevertheless	nevertheless	rr
,	,	y
in	in	ii
real	real	jj
police	police	nn2
investigations	investigation	nn2
witnesses	witness	nn2
may	may	vm
fare	fare	vvi
less	less	rgr_dar
well	well	rr
.	.	y
An	a	at1
extensive	extensive	jj
body	body	nn1
of	of	io
research	research	nn1
shows	show	vvz
that	that	dd1_cst
eyewitness	eyewitness	nn1
memory	memory	nn1
is	be	vbz
susceptible	susceptible	jj
to	to	ii
distortion	distortion	nn1
.	.	y
The	the	at
reconstructive	reconstructive	jj
nature	nature	nn1
of	of	io
memory	memory	nn1
means	mean	vvz
that	that	cst_dd1
post-event	post-event	jj_nn1
information	information	nn1
may	may	vm
be	be	vbi
incorporated	incorporate	vvn
into	into	ii
memory	memory	nn1
and	and	cc
witnesses	witness	nn2
can	can	vm
be	be	vbi
confident	confident	jj
in	in	ii
inaccurate	inaccurate	jj
information	information	nn1
(	(	y
Ayers	ayer	np1
&;	&;	x
Reder	reder	np1
,	,	y
1998	1998	mc
;	;	y
Smith	smith	np1
,	,	y
Kassin	kassin	np1_nn1
,	,	y
&;	&;	x
Ellsworth	ellsworth	np1
,	,	y
1989	1989	mc
)	)	y
.	.	y
This	this	dd1
possibility	possibility	nn1
is	be	vbz
illustrated	illustrate	vvn
in	in	ii
a	a	at1
study	study	nn1
by	by	ii
Loftus	loftus	np1
and	and	cc
Palmer	palmer	np1
(	(	y
1974	1974	mc
)	)	y
in	in	ii
which	which	ddq
participants	participant	nn2
were	be	vbdr
shown	show	vvn
a	a	at1
film	film	nn1
of	of	io
a	a	at1
