##4001062		
Section	section	nn1
:	:	y
Creative	creative	jj
Controversy	controversy	nn1
<p>	<p>	y
In	in	ii31
keeping	keeping	ii32
with	with	ii33
the	the	at
policy	policy	nn1
of	of	io
the	the	at
Humanist	humanist	jj_nn1
to	to	to
accommodate	accommodate	vvi
the	the	at
diverse	diverse	jj
social	social	jj
,	,	y
political	political	jj
,	,	y
and	and	cc
philosophical	philosophical	jj
viewpoints	viewpoint	nn2
of	of	io
its	its	z'
readers	reader	nn2
,	,	y
this	this	dd1
occasional	occasional	jj
feature	feature	nn1
allows	allow	vvz
for	for	if
the	the	at
expression	expression	nn1
of	of	io
alternative	alternative	nn1_jj
and	and	cc
dissenting	dissent	vvg_jj@
views	view	nn2
on	on	ii
issues	issue	nn2
previously	previously	rr
broached	broach	vvn_vvd
within	within	ii
these	these	dd2
pages	page	nn2
.	.	y
<p>	<p>	y
FEW	few	da2
VALUES	value	nn2
,	,	y
if	if	cs
any	any	dd
,	,	y
have	have	vh0
more	more	rgr_dar
widespread	widespread	jj
acceptance	acceptance	nn1
today	today	rt
in	in	ii
the	the	at
United	united	np1
States	state	np1
than	than	csn
tolerance	tolerance	nn1
.	.	y
Religious	religious	jj
tolerance	tolerance	nn1
is	be	vbz
especially	especially	rr
lauded	laud	vvn
and	and	cc
has	have	vhz
had	have	vhn
its	its	z'
staunch	staunch	jj
supporters	supporter	nn2
in	in	ii
this	this	dd1
country	country	nn1
since	since	cs
early	early	rr_jj
in	in	ii
the	the	at
colonial	colonial	jj
period	period	nn1
.	.	y
Today	today	rt
,	,	y
although	although	cs
some	some	dd
advocate	advocate	vv0_nn1
it	it	pph1
more	more	rgr
strongly	strongly	rr
and	and	cc
more	more	rgr
often	often	rr
than	than	csn
others	others	nn2
,	,	y
people	people	nn
of	of	io
nearly	nearly	rr
all	all	db
beliefs	belief	nn2
and	and	cc
political	political	jj
persuasions	persuasion	nn2
can	can	vm
be	be	vbi
heard	hear	vvn
arguing	argue	vvg
in	in	ii31
favor	favor	ii32
of	of	ii33
tolerance	tolerance	nn1
.	.	y
The	the	at
principle	principle	nn1
seems	seem	vvz
inherent	inherent	jj
in	in	ii
a	a	at1
pluralistic	pluralistic	jj
,	,	y
democratic	democratic	jj
society	society	nn1
.	.	y
<p>	<p>	y
In	in	ii
its	its	z'
most	most	rgt
basic	basic	jj
sense	sense	nn1
,	,	y
tolerance	tolerance	nn1
means	mean	vvz_nn
respect	respect	nn1_vv0@
for	for	if
the	the	at
practices	practice	nn2
and	and	cc
beliefs	belief	nn2
of	of	io
others	others	nn2
--	--	x
whether	whether	csw31
or	or	csw32
not	not	csw33
we	we	ppis2
agree	agree	vv0
with	with	iw
them	them	ppho2
.	.	y
What	what	ddq
thinking	thinking	nn1
person	person	nn1
could	could	vm
disagree	disagree	vvi
with	with	iw
such	such	da
an	a	at1
idea	idea	nn1
?	?	y
No	no	xx
community	community	nn1
or	or	cc
culture	culture	nn1
could	could	vm
exist	exist	vvi
,	,	y
and	and	cc
neither	neither	dd1_rr
could	could	vm
coexist	coexist	vvi
,	,	y
without	without	iw
some	some	dd
tolerance	tolerance	nn1
.	.	y
A	a	at1_zz1
major	major	jj
reason	reason	nn1
the	the	at
idea	idea	nn1
has	have	vhz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
respect	respect	nn1
for	for	if
others	others	nn2
.	.	y
<p>	<p>	y
Those	those	dd2
today	today	rt
who	who	pnqs
most	most	rgt
frequently	frequently	rr
and	and	cc
strongly	strongly	rr
advocate	advocate	vv0
tolerance	tolerance	nn1
usually	usually	rr
do	do	vd0
so	so	rr
based	base	vvn
on	on	ii
the	the	at
idea	idea	nn1
that	that	cst_dd1
truth	truth	nn1
is	be	vbz
relative	relative	jj
;	;	y
no	no	at
one	one	mc1
person	person	nn1
,	,	y
group	group	nn1
,	,	y
or	or	cc
culture	culture	nn1
--	--	x
the	the	at
argument	argument	nn1
goes	go	vvz
--	--	x
has	have	vhz
a	a	at1
monopoly	monopoly	nn1
on	on	ii
truth	truth	nn1
,	,	y
so	so	cs@_rr
one	one	pn1
can	can	vm
believe	believe	vvi
what	what	ddq
one	one	pn1
wants	want	vvz
but	but	ccb
can	can	vm
not	not	xx
impose	impose	vvi
that	that	dd1_cst
belief	belief	nn1
on	on	ii
someone	someone	pn1
else	else	rr
.	.	y
By	by	ii
maintaining	maintain	vvg
your	your	appge
own	own	da
truth	truth	nn1
without	without	iw
seeking	seek	vvg
to	to	to
force	force	vvi
it	it	pph1
on	on	ii_rp@
others	others	nn2
,	,	y
you	you	ppy
are	be	vbr
showing	show	vvg
the	the	at
respect	respect	nn1
characteristic	characteristic	nn1
of	of	io
a	a	at1
tolerant	tolerant	jj
person	person	nn1
.	.	y
<p>	<p>	y
This	this	dd1
relativism	relativism	nn1
is	be	vbz
applied	apply	vvn
in	in	ii
many	many	da2
areas	area	nn2
.	.	y
We	we	ppis2
say	say	vv0
that	that	cst_dd1
what	what	ddq
is	be	vbz
right	right	jj
for	for	if
the	the	at
Christian	christian	nn1@_jj
is	be	vbz
n't	n't	xx
necessarily	necessarily	rr
right	right	jj
for	for	if
the	the	at
Muslim	muslim	jj_nn1@
,	,	y
Buddhist	buddhist	nn1_jj
,	,	y
agnostic	agnostic	nn1_jj
,	,	y
and	and	rr31
so	so	rr32
on	on	rr33
.	.	y
Similarly	similarly	rr
,	,	y
the	the	at
tolerant	tolerant	jj
view	view	nn1
on	on	ii
abortion	abortion	nn1
says	say	vvz
it	it	pph1
's	be	vbz
fine	fine	jj
to	to	to
believe	believe	vvi
abortion	abortion	nn1
is	be	vbz
wrong	wrong	jj_rr@
but	but	ccb
it	it	pph1
's	be	vbz
intolerant	intolerant	jj
to	to	to
tell	tell	vvi
other	other	jj
women	woman	nn2
it	it	pph1
's	be	vbz
wrong	wrong	jj_rr@
for	for	if
them	them	ppho2
.	.	y
Or	or	cc
if	if	cs_csw@
you	you	ppy
are	be	vbr
against	against	ii
interracial	interracial	jj
marriage	marriage	nn1
then	then	rt
do	do	vd0
n't	n't	xx
marry	marry	vvi
someone	someone	pn1
from	from	ii
a	a	at1
different	different	jj
race	race	nn1
,	,	y
but	but	ccb
do	do	vd0
n't	n't	xx
try	try	vvi
to	to	to
stop	stop	vvi
someone	someone	pn1
else	else	rr
from	from	ii
doing	do	vdg
so	so	rr
.	.	y
The	the	at
tolerant	tolerant	jj
view	view	nn1
says	say	vvz
that	that	cst
if	if	cs
you	you	ppy
find	find	vv0
homosexuality	homosexuality	nn1
unappealing	unappealing	vvg_nn1@
then	then	rt
do	do	vd0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
being	be	vbg
homosexual	homosexual	jj_nn1
.	.	y
<p>	<p>	y
At	at	ii
first	first	md
glance	glance	nn1
these	these	dd2
arguments	argument	nn2
are	be	vbr
appealing	appeal	vvg_jj
;	;	y
so	so	rg_rr
apparently	apparently	rr
respectful	respectful	jj
of	of	io
others	others	nn2
,	,	y
they	they	pphs2
appear	appear	vv0
obviously	obviously	rr
valid	valid	jj
.	.	y
They	they	pphs2
seem	seem	vv0
democratic	democratic	jj
in	in	ii
the	the	at
sense	sense	nn1
that	that	cst
they	they	pphs2
endow	endow	vv0
equality	equality	nn1
of	of	io
opinion	opinion	nn1
and	and	cc
preference	preference	nn1
.	.	y
They	they	pphs2
seem	seem	vv0
self-effacing	self-effacing	jj
in	in	cs21%_ii
that	that	cs22@_dd1
they	they	pphs2
claim	claim	vv0
your	your	appge
belief	belief	nn1
is	be	vbz
as	as	rg
legitimate	legitimate	jj
as	as	csa
mine	mine	ppge
.	.	y
They	they	pphs2
seem	seem	vv0
impartial	impartial	jj
.	.	y
So	so	rr
on	on	ii
the	the	at
surface	surface	nn1
toleration	toleration	nn1
appears	appear	vvz
to	to	to
be	be	vbi
a	a	at1
fair-minded	fair-minded	nn1_jj
,	,	y
democratic	democratic	jj
,	,	y
modest	modest	jj
approach	approach	nn1
that	that	cst_dd1
looks	look	vvz
at	at	ii
the	the	at
world	world	nn1
based	base	vvn
on	on	ii
the	the	at
ideal	ideal	nn1@_jj
of	of	io
respect	respect	nn1
for	for	if
others	others	nn2
.	.	y
No	no	xx
wonder	wonder	nn1
its	its	z'
virtues	virtue	nn2
are	be	vbr
so	so	rg
frequently	frequently	rr
acclaimed	acclaim	vvn_jj
.	.	y
<p>	<p>	y
But	but	ccb
might	might	vm
there	there	ex
be	be	vbi
a	a	at1
few	few	da2
problems	problem	nn2
in	in	ii
this	this	dd1
outlook	outlook	nn1
?	?	y
For	for	if
one	one	pn1_mc1
,	,	y
at	at	ii
some	some	dd
level	level	nn1_vv0@_jj
it	it	pph1
seems	seem	vvz
to	to	to
tell	tell	vvi
people	people	nn
how	how	rrq
they	they	pphs2
can	can	vm_vv0%
and	and	cc
can	can	vm
not	not	xx
act	act	vvi
--	--	x
for	for	rex21
example	example	rex22
,	,	y
by	by	ii
saying	say	vvg
one	one	pn1
can	can	vm
disagree	disagree	vvi
with	with	iw
abortion	abortion	nn1
but	but	ccb
can	can	vm
not	not	xx
stop	stop	vvi
others	others	nn2
from	from	ii
having	have	vhg
one	one	pn1
.	.	y
This	this	dd1
circumscription	circumscription	nn1
of	of	io
behavior	behavior	nn1
can	can	vm
be	be	vbi
especially	especially	rr
problematic	problematic	jj
in	in	ii
the	the	at
case	case	nn1
of	of	io
evangelical	evangelical	jj
Christianity	christianity	nn1
,	,	y
an	a	at1
area	area	nn1
in	in	ii
which	which	ddq
tolerance	tolerance	nn1
is	be	vbz
perhaps	perhaps	rr
most	most	rgt
often	often	rr
discussed	discuss	vvn_vvd
.	.	y
<p>	<p>	y
Evangelicalism	evangelicalism	nn1_np1@
is	be	vbz
the	the	at
belief	belief	nn1
that	that	cst_dd1
salvation	salvation	nn1
is	be	vbz
the	the	at
most	most	rgt
important	important	jj
moment	moment	nn1
in	in	ii
life	life	nn1
and	and	cc
that	that	dd1_cst
leading	leading	jj
others	others	nn2
to	to	ii
salvation	salvation	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
say	say	vv0
,	,	y
fine	fine	jj
,	,	y
believe	believe	vv0
in	in	ii
Jesus	jesus	np1
but	but	ccb
do	do	vd0
n't	n't	xx
try	try	vvi
to	to	to
impose	impose	vvi
your	your	appge
belief	belief	nn1
on	on	ii
me	me	ppio1
.	.	y
But	but	ccb
if	if	cs
you	you	ppy
take	take	vv0
the	the	at
proselytizing	proselytizing	nn1@_jj@_vvg
out	out	ii21
of	of	ii22
