##4001150		
ABSTRACT	abstract	jj_nn1@_vv0@
.	.	y
Sixty	sixty	mc
undergraduate	undergraduate	nn1
subjects	subject	nn2
were	be	vbdr
exposed	expose	vvn
to	to	ii
one	one	mc1
of	of	io
three	three	mc
depressive	depressive	nn1
mood	mood	nn1
inductions	induction	nn2
:	:	y
cognitive	cognitive	jj
,	,	y
behavioral	behavioral	jj
,	,	y
or	or	cc
control	control	nn1_vv0
.	.	y
Subjects	subject	nn2
in	in	ii
the	the	at
cognitive	cognitive	jj
induction	induction	nn1
group	group	nn1
read	read	vvd_vvn_vv0
negative	negative	jj
self-statements	self-statement	nn2
consistent	consistent	jj
with	with	iw
Beck	beck	np1
's	's	ge
(	(	y
1974	1974	mc
)	)	y
cognitive	cognitive	jj
theory	theory	nn1
of	of	io
depression	depression	nn1
.	.	y
Subjects	subject	nn2
in	in	ii
the	the	at
behavioral	behavioral	jj_nn1
induction	induction	nn1
group	group	nn1
were	be	vbdr
exposed	expose	vvn
to	to	ii
insoluble	insoluble	jj
discrimination	discrimination	nn1
problems	problem	nn2
consistent	consistent	jj
with	with	iw
Lewinsohn	lewinsohn	np1
's	's	ge
(	(	y
1974	1974	mc
)	)	y
behavioral	behavioral	jj_nn1
theory	theory	nn1
that	that	cst_dd1
lack	lack	nn1
of	of	io
reinforcement	reinforcement	nn1
produces	produce	vvz
depression	depression	nn1
.	.	y
The	the	at
control	control	nn1
group	group	nn1
read	read	vvd_vvn_vv0
a	a	at1
neutral	neutral	jj
passage	passage	nn1
.	.	y
Following	follow	vvg_ii@
the	the	at
mood	mood	nn1
induction	induction	nn1
,	,	y
subjects	subject	nn2
rated	rate	vvd_vvn
their	their	appge
current	current	jj
moods	mood	nn2
using	use	vvg
the	the	at
Multiple	multiple	jj_nn1
Affect	affect	nn1
Adjective	adjective	nn1
Checklist	checklist	nn1
(	(	y
MAACL	maacl	np1_vv0_nn1
;	;	y
Zuckerman	zuckerman	np1
&;	&;	x
Lubin	lubin	np1
,	,	y
1965	1965	mc
)	)	y
.	.	y
The	the	at
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
inductions	induction	nn2
produced	produce	vvd_vvn
significantly	significantly	rr
higher	high	jjr
MAACL	maacl	nn1
total	total	nn1_jj
and	and	cc
subscale	subscale	nn1
scores	score	nn2
than	than	csn
did	do	vdd
the	the	at
control	control	nn1
condition	condition	nn1
;	;	y
however	however	rr
,	,	y
the	the	at
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
inductions	induction	nn2
did	do	vdd
not	not	xx
differ	differ	vvi
from	from	ii
one	one	ppx121
another	another	ppx122
.	.	y
Because	because	cs
the	the	at
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
mood	mood	nn1
inductions	induction	nn2
appear	appear	vv0
equally	equally	rr
powerful	powerful	jj
,	,	y
they	they	pphs2
may	may	vm
be	be	vbi
used	use	vvn
by	by	ii
researchers	researcher	nn2
who	who	pnqs
are	be	vbr
attempting	attempt	vvg
to	to	to
identify	identify	vvi
variables	variable	nn2
that	that	cst
are	be	vbr
related	relate	vvn
to	to	ii
subjects	subject	nn2
'	'	ge
differing	differing	jj
responses	response	nn2
to	to	ii
behavioral	behavioral	jj
and	and	cc
cognitive	cognitive	jj
influences	influence	nn2
on	on	ii
depression	depression	nn1
.	.	y
<p>	<p>	y
COGNITIVE	cognitive	jj
AND	and	cc
BEHAVIORAL	behavioral	jj_nn1
MODELS	model	nn2
of	of	io
depression	depression	nn1
have	have	vh0
become	become	vvn@
increasingly	increasingly	rr
influential	influential	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
)	)	y
cognitive	cognitive	jj
theory	theory	nn1
and	and	cc
Lewinsohn	lewinsohn	np1
's	's	ge
(	(	y
1974	1974	mc
)	)	y
behavioral	behavioral	jj_nn1
theory	theory	nn1
have	have	vh0
both	both	db2
generated	generate	vvn
substantial	substantial	jj
research	research	nn1
on	on	ii
the	the	at
cause	cause	nn1
and	and	cc
treatment	treatment	nn1
of	of	io
depression	depression	nn1
.	.	y
To	to	ii
date	date	nn1
,	,	y
evaluations	evaluation	nn2
of	of	io
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
therapy	therapy	nn1
for	for	if
depression	depression	nn1
have	have	vh0
shown	show	vvn
that	that	cst
both	both	db2
treatments	treatment	nn2
are	be	vbr
effective	effective	jj
but	but	ccb
that	that	cst@_dd1
there	there	ex
is	be	vbz
no	no	at
clear	clear	jj
support	support	nn1
for	for	if
the	the	at
greater	great	jjr
efficacy	efficacy	nn1
of	of	io
one	one	pn1_mc1
over	over	ii_rp
the	the	at
other	other	jj_nn1@
(	(	y
Sacco	sacco	np1
&;	&;	x
Beck	beck	np1
,	,	y
1985	1985	mc
)	)	y
.	.	y
Rehm	rehm	nn1_np1@
,	,	y
Kaslow	kaslow	np1_vv0_nn1
,	,	y
and	and	cc
Rabin	rabin	np1
(	(	y
1987	1987	mc
)	)	y
attempted	attempt	vvd_vvn
to	to	to
identify	identify	vvi
variables	variable	nn2
that	that	cst
predict	predict	vv0
responses	response	nn2
to	to	ii
cognitive	cognitive	jj
versus	versus	ii
behavior	behavior	nn1
therapy	therapy	nn1
.	.	y
To	to	ii
date	date	nn1
,	,	y
however	however	rr
,	,	y
there	there	ex
are	be	vbr
no	no	at
clear	clear	jj
indicators	indicator	nn2
as	as	ii21
to	to	ii22
which	which	ddq
approach	approach	nn1_vv0@
will	will	vm
be	be	vbi
more	more	rgr
effective	effective	jj
for	for	if
a	a	at1
client	client	nn1
.	.	y
<p>	<p>	y
Rexford	rexford	nn1_np1@
and	and	cc
Wierzbicki	wierzbicki	np1_nn1
(	(	y
1989	1989	mc
)	)	y
suggested	suggest	vvd
that	that	dd1_cst
laboratory	laboratory	nn1
mood	mood	nn1
induction	induction	nn1
studies	study	nn2
might	might	vm
help	help	vvi
identify	identify	vvi
variables	variable	nn2
that	that	cst
predispose	predispose	vv0
one	one	pn1
to	to	to
respond	respond	vvi
to	to	ii
cognitive	cognitive	jj
versus	versus	ii
behavioral	behavioral	jj_nn1
therapy	therapy	nn1
.	.	y
They	they	pphs2
developed	develop	vvd
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
mood	mood	nn1
inductions	induction	nn2
and	and	cc
found	find	vvd_vvn
