##4000350		
Section	section	nn1
:	:	y
ISSUES	issue	nn2
<p>	<p>	y
When	when	cs
Allan	allan	np1
Bloom	bloom	np1
wrote	write	vvd
The	the	at
Closing	closing	nn1
of	of	io
the	the	at
American	american	jj
Mind	mind	nn1
,	,	y
he	he	pphs1
was	be	vbdz
probably	probably	rr
not	not	xx
thinking	think	vvg_nn1
of	of	io
the	the	at
"	"	y
closed	closed	jj
mind	mind	nn1
"	"	y
under	under	ii
the	the	at
image	image	nn1
of	of	io
a	a	at1
contraceptive	contraceptive	nn1_jj
.	.	y
Still	still	rr
less	less	dar_rrr
would	would	vm
anyone	anyone	pn1
be	be	vbi
likely	likely	jj
to	to	to
think	think	vvi
of	of	io
the	the	at
"	"	y
open	open	jj
mind	mind	nn1_vv0
"	"	y
that	that	dd1
way	way	nn1
.	.	y
But	but	ccb
such	such	da
was	be	vbdz
precisely	precisely	rr
the	the	at
image	image	nn1
that	that	cst
seemed	seem	vvd
to	to	to
govern	govern	vvi
a	a	at1
series	series	nn
of	of	io
events	event	nn2
at	at	ii
Princeton	princeton	np1
University	university	nn1
this	this	dd1
past	past	jj_nn1
year	year	nnt1
,	,	y
which	which	ddq
culminated	culminate	vvd
in	in	ii
the	the	at
dismissal	dismissal	nn1
of	of	io
one	one	mc1
of	of	io
the	the	at
official	official	jj_nn1
Catholic	catholic	nn1_jj
chaplains.	chaplains	nnu
1	1	mc1
<p>	<p>	y
C.	c	np1
John	john	np1
McCloskey	mccloskey	np1
is	be	vbz
a	a	at1
young	young	jj
priest	priest	nn1
who	who	pnqs
belongs	belong	vvz
to	to	ii
Opus	opus	np1
Dei	dei	np1
(	(	y
the	the	at
Work	work	nn1
of	of	io
God	god	np1
)	)	y
,	,	y
a	a	at1
mixed	mixed	jj@
lay-clerical	lay-clerical	jj
organization	organization	nn1
founded	found	vvn_vvd
in	in	ii
Spain	spain	np1
in	in	ii
the	the	at
1920s	1920s	mc2
with	with	iw
branches	branch	nn2
throughout	throughout	ii
the	the	at
Catholic	catholic	jj_nn1
world	world	nn1
.	.	y
Opus	opus	np1@
Dei	dei	np1
prides	pride	vvz
itself	itself	ppx1
on	on	ii
its	its	z'
loyalty	loyalty	nn1
to	to	ii
the	the	at
pope	pope	nn1
and	and	cc
its	its	z'
rigorous	rigorous	jj
spiritual	spiritual	jj
discipline	discipline	nn1
.	.	y
Some	some	dd
of	of	io
its	its	z'
members	member	nn2
were	be	vbdr
active	active	jj
in	in	ii
the	the	at
Franco	franco	np1
government	government	nn1
in	in	ii
Spain	spain	np1
,	,	y
and	and	cc
the	the	at
group	group	nn1
has	have	vhz
often	often	rr
been	be	vbn
accused	accuse	vvn
of	of	io
having	have	vhg
a	a	at1
conservative	conservative	jj
political	political	jj
ideology	ideology	nn1
.	.	y
Officially	officially	rr
,	,	y
Opus	opus	np1
Dei	dei	np1
states	state	vvz
that	that	cst
it	it	pph1
has	have	vhz
no	no	at
political	political	jj
position	position	nn1
as	as	csa_ii@
such	such	da
but	but	ccb
that	that	dd1_cst@
its	its	z'
members	member	nn2
are	be	vbr
free	free	jj
to	to	to
engage	engage	vvi
in	in	ii_rp@
political	political	jj
activity	activity	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Opus	opus	np1
Dei	dei	np1
members	member	nn2
are	be	vbr
known	know	vvn
to	to	to
be	be	vbi
politically	politically	rr
active	active	jj
.	.	y
<p>	<p>	y
The	the	at
group	group	nn1
has	have	vhz
for	for	if
years	year	nnt2
been	be	vbn
in	in	ii
the	the	at
habit	habit	nn1
of	of	io
establishing	establish	vvg
houses	house	nn2
near	near	ii
elite	elite	nn1_jj@
universities	university	nn2
,	,	y
and	and	cc
seems	seem	vvz
to	to	to
recruit	recruit	vvi
new	new	jj
members	member	nn2
primarily	primarily	rr
from	from	ii
such	such	da
environments	environment	nn2
.	.	y
(	(	y
There	there	ex_rl
are	be	vbr
degrees	degree	nn2
of	of	io
affiliation	affiliation	nn1
,	,	y
some	some	dd
of	of	io
which	which	ddq
are	be	vbr
relatively	relatively	rr
loose	loose	jj_vv0@
.	.	y
)	)	y
The	the	at
group	group	nn1
was	be	vbdz
active	active	jj
at	at	ii
Princeton	princeton	np1
as	as	rg
early	early	rr_jj
as	as	csa
1987	1987	mc
,	,	y
and	and	cc
in	in	ii
1989	1989	mc
it	it	pph1
purchased	purchase	vvd
a	a	at1
house	house	nn1
just	just	rr
off	off	ii_rp
campus	campus	nn1
to	to	to
serve	serve	vvi
as	as	csa_ii@
its	its	z'
local	local	jj
headquarters	headquarters	nn
.	.	y
The	the	at
purchase	purchase	nn1
alarmed	alarm	vvd_vvn
some	some	dd
Princetonians	princetonians	nn2
,	,	y
indicating	indicate	vvg
as	as	csa
it	it	pph1
did	do	vdd
that	that	dd1%_cst
the	the	at
organization	organization	nn1
intended	intend	vvd_vvn
to	to	to
become	become	vvi
a	a	at1
permanent	permanent	jj
presence	presence	nn1
at	at	ii
the	the	at
university	university	nn1
.	.	y
<p>	<p>	y
Almost	almost	rr
from	from	ii
the	the	at
beginning	beginning	nn1
,	,	y
rumors	rumor	nn2
about	about	ii
the	the	at
group	group	nn1
and	and	cc
its	its	z'
alleged	alleged	jj
hidden	hidden	jj@
agenda	agenda	nn1
were	be	vbdr
circulated	circulate	vvn
in	in	ii_rp@
both	both	rr
Catholic	catholic	jj
and	and	cc
non-Catholic	non-catholic	jj_nn1
circles	circle	nn2
in	in	ii
the	the	at
community	community	nn1
.	.	y
Among	among	ii
liberal	liberal	jj
Catholics	catholic	nn2
,	,	y
Opus	opus	np1
Dei	dei	np1
has	have	vhz
an	a	at1
image	image	nn1
somewhat	somewhat	rr
like	like	ii_vv0@
that	that	dd1
of	of	io
the	the	at
Masons	mason	nn2
in	in	ii
earlier	early	jjr
times	time	nnt2
--	--	x
a	a	at1
malign	malign	jj
secret	secret	jj_nn1
organization	organization	nn1
with	with	iw
controlling	control	vvg_jj@
tentacles	tentacle	nn2
moving	move	vvg
in	in	ii_rp@
all	all	db
directions	direction	nn2
.	.	y
Little	little	da1
of	of	io
this	this	dd1
has	have	vhz
ever	ever	rr
been	be	vbn
documented	document	vvn
and	and	cc
,	,	y
whatever	whatever	ddqv
the	the	at
group	group	nn1
may	may	vm
do	do	vdi
in	in	ii
other	other	jj
parts	part	nn2
of	of	io
the	the	at
world	world	nn1
,	,	y
it	it	pph1
is	be	vbz
clear	clear	jj
that	that	cst
in	in	ii
the	the	at
United	united	np1
States	state	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
personal	personal	jj
piety	piety	nn1
.	.	y
<p>	<p>	y
From	from	ii
1970	1970	mc
to	to	ii
1988	1988	mc
the	the	at
official	official	jj_nn1
Catholic	catholic	jj_nn1
chaplain	chaplain	nn1
at	at	ii
Princeton	princeton	np1
was	be	vbdz
Father	father	nnb
Charles	charles	np1
Weiser	weiser	np1
,	,	y
a	a	at1
Trenton	trenton	np1_nn1@
diocesan	diocesan	jj
priest	priest	nn1
who	who	pnqs
directed	direct	vvd
the	the	at
Aquinas	aquinas	np2
Foundation	foundation	nn1
.	.	y
This	this	dd1
organization	organization	nn1
is	be	vbz
Princeton	princeton	np1
's	's	ge
equivalent	equivalent	nn1@_jj
of	of	io
the	the	at
Newman	newman	np1
Clubs	club	nn2
elsewhere	elsewhere	rl
,	,	y
and	and	cc
has	have	vhz
